tweet_id,rating_numerator,rating_denominator,name,rating,breed,conf,outcome,retweet_cnt,favorite_cnt
670691627984359425,8,10,Ester,0.8,Shetland_sheepdog,0.0711243999999999,True,209,518
670679630144274432,8,10,Pluto,0.8,Ibizan_hound,0.342734,True,241,663
670676092097810432,8,10,Bloo,0.8,Dandie_Dinmont,0.6761020000000001,True,35,214
670444955656130560,10,10,Paull,1.0,English_springer,0.403698,True,1742,6050
670442337873600512,11,10,Koda,1.1,Sussex_spaniel,0.403552,True,175,579
670435821946826752,10,10,no-name,1.0,basenji,0.135767,True,437,938
670434127938719744,11,10,Hank,1.1,Chesapeake_Bay_retriever,0.027351,True,561,1255
670433248821026816,10,10,Sam,1.0,giant_schnauzer,0.0622148,True,100,296
670428280563085312,11,10,Willy,1.1,chow,0.335269,True,521,1231
670427002554466305,9,10,a,0.9,toy_terrier,0.0388716,True,142,462
670421925039075328,12,10,Herb,1.2,Chihuahua,0.275793,True,550,1143
670411370698022913,12,10,Scooter,1.2,Maltese_dog,0.584397,True,767,1790
670403879788544000,10,10,Nigel,1.0,pug,0.8022229999999999,True,128,377
670385711116361728,8,10,Larry,0.8,whippet,0.178027,True,173,490
670374371102445568,12,10,Daisy,1.2,English_springer,0.974936,True,238,668
670338931251150849,10,10,Butters,1.0,cairn,0.245033,True,96,373
670319130621435904,11,10,no-name,1.1,Irish_terrier,0.2548559999999999,True,1066,3470
670303360680108032,9,10,a,0.9,Shetland_sheepdog,0.380278,True,107,382
670290420111441920,11,10,Sandra,1.1,Chihuahua,0.368876,True,249,622
670093938074779648,9,10,Wally,0.9,toy_poodle,0.383346,True,276,907
670086499208155136,10,10,no-name,1.0,German_short-haired_pointer,0.273492,True,218,620
670073503555706880,10,10,Winston,1.0,malamute,0.6018859999999999,True,677,1385
670061506722140161,11,10,Liam,1.1,Italian_greyhound,0.329339,True,290,664
670046952931721218,11,10,Ben,1.1,Blenheim_spaniel,0.998335,True,151,575
670040295598354432,10,10,no-name,1.0,borzoi,0.0266596,True,96,657
670003130994700288,10,10,Raphael,1.0,beagle,0.375313,True,77,296
669970042633789440,10,10,Julio,1.0,miniature_pinscher,0.734744,True,43,271
669942763794931712,11,10,Andru,1.1,vizsla,0.743216,True,132,444
669926384437997569,12,10,no-name,1.2,Pomeranian,0.984231,True,81,338
669753178989142016,10,10,Chester,1.0,Pembroke,0.8584940000000001,True,340,708
669683899023405056,10,10,Kloey,1.0,Pomeranian,0.998275,True,94,338
669680153564442624,8,10,Shawwn,0.8,dalmatian,0.141257,True,243,585
669625907762618368,12,10,Penny,1.2,golden_retriever,0.0554081,True,1565,3114
669603084620980224,10,10,no-name,1.0,Maltese_dog,0.659619,True,316,841
669597912108789760,10,10,Skye,1.0,Eskimo_dog,0.595665,True,131,447
669573570759163904,10,10,Linda,1.0,West_Highland_white_terrier,0.946828,True,120,388
669567591774625800,9,10,Kollin,0.9,Chihuahua,0.980511,True,45,202
669564461267722241,10,10,a,1.0,toy_poodle,0.623685,True,104,336
669393256313184256,10,10,Ronduh,1.0,cocker_spaniel,0.3598429999999999,True,62,312
669375718304980992,6,10,Billl,0.6,Airedale,0.168762,True,627,1175
669371483794317312,10,10,Oliviér,1.0,Brabancon_griffon,0.483268,True,148,436
669367896104181761,10,10,Chip,1.0,basset,0.749394,True,130,405
669363888236994561,10,10,no-name,1.0,golden_retriever,0.539004,True,201,558
669359674819481600,11,10,Saydee,1.1,Labrador_retriever,0.367818,True,103,330
669354382627049472,8,10,Dug,0.8,Chihuahua,0.97399,True,1093,2382
669353438988365824,10,10,Tessa,1.0,Pembroke,0.2123429999999999,True,227,563
669328503091937280,12,10,Kirk,1.2,Siberian_husky,0.424202,True,367,904
669327207240699904,13,10,no-name,1.3,golden_retriever,0.919584,True,102,498
669324657376567296,11,10,Ralf,1.1,Cardigan,0.131544,True,182,438
669216679721873412,8,10,Clarq,0.8,golden_retriever,0.992758,True,346,1055
669203728096960512,9,10,Samsom,0.9,pug,0.910452,True,407,888
669037058363662336,10,10,no-name,1.0,Chihuahua,0.803528,True,265,571
669006782128353280,12,10,Tucker,1.2,Chihuahua,0.1271779999999999,True,209,510
669000397445533696,11,10,Terrance,1.1,Pembroke,0.82294,True,5515,18657
668994913074286592,5,10,no-name,0.5,English_springer,0.0897633,True,191,390
668989615043424256,3,10,Bernie,0.3,pug,0.917326,True,288,594
668986018524233728,9,10,Ruby,0.9,Chihuahua,0.00563972,True,140,479
668979806671884288,12,10,Chaz,1.2,golden_retriever,0.608537,True,293,702
668975677807423489,11,10,Jeremy,1.1,basset,0.605437,True,495,1155
668960084974809088,10,10,Jaycob,1.0,Chesapeake_Bay_retriever,0.165878,True,210,618
668955713004314625,10,10,a,1.0,cocker_spaniel,0.367492,True,63,241
668932921458302977,9,10,Herald,0.9,standard_poodle,0.237638,True,50,227
668902994700836864,11,10,Lambeau,1.1,Brittany_spaniel,0.828425,True,87,276
668892474547511297,11,10,Ruffles,1.1,kelpie,0.421979,True,126,355
668852170888998912,11,10,Bobb,1.1,golden_retriever,0.903529,True,139,409
668826086256599040,10,10,Banditt,1.0,malinois,0.640185,True,112,382
668815180734689280,7,10,a,0.7,redbone,0.461172,True,225,494
668779399630725120,10,10,Kevon,1.0,Chesapeake_Bay_retriever,0.285508,True,325,626
668655139528511488,11,10,Winifred,1.1,beagle,0.31911,True,189,470
668641109086707712,10,10,Hanz,1.0,pug,0.146311,True,466,943
668636665813057536,10,10,an,1.0,komondor,0.999956,True,435,917
668633411083464705,10,10,Churlie,1.0,Pekinese,0.589011,True,1380,2460
668631377374486528,5,10,Zeek,0.5,miniature_schnauzer,0.904549,True,280,617
668627278264475648,9,10,Timofy,0.9,French_bulldog,0.965403,True,97,281
668625577880875008,10,10,Maks,1.0,groenendael,0.0544548,True,112,329
668623201287675904,10,10,Jomathan,1.0,Chihuahua,0.708163,True,653,1245
668567822092664832,11,10,Marvin,1.1,Shih-Tzu,0.985649,True,46,206
668542336805281792,10,10,no-name,1.0,American_Staffordshire_terrier,0.2676949999999999,True,182,402
668537837512433665,8,10,Spark,0.8,Lakeland_terrier,0.372988,True,61,226
668528771708952576,12,10,Gòrdón,1.2,Labrador_retriever,0.1958349999999999,True,189,402
668507509523615744,10,10,a,1.0,basenji,0.0553793999999999,True,87,279
668496999348633600,8,10,Jo,0.8,Staffordshire_bullterrier,0.412879,True,114,359
668484198282485761,9,10,no-name,0.9,standard_poodle,0.587372,True,207,372
668480044826800133,11,10,DayZ,1.1,Labrador_retriever,0.0999648,True,127,397
668286279830867968,11,10,Rusty,1.1,golden_retriever,0.215944,True,117,434
668274247790391296,10,10,Sophie,1.0,soft-coated_wheaten_terrier,0.4063739999999999,True,197,720
668268907921326080,10,10,no-name,1.0,Pembroke,0.48483,True,206,483
668248472370458624,8,10,Bisquick,0.8,Chihuahua,0.7345470000000001,True,407,839
668237644992782336,10,10,Torque,1.0,chow,0.8093199999999999,True,2419,5436
668221241640230912,10,10,no-name,1.0,chow,0.395101,True,169,450
668204964695683073,8,10,Ron,0.8,Labrador_retriever,0.65518,True,172,488
668190681446379520,12,10,Skittles,1.2,Blenheim_spaniel,0.958402,True,170,575
668171859951755264,7,10,a,0.7,Chihuahua,0.664834,True,162,425
668113020489474048,6,10,Alfie,0.6,Pembroke,0.548896,True,207,581
667924896115245057,9,10,Jiminy,0.9,Labrador_retriever,0.209051,True,95,263
667915453470232577,10,10,Otis,1.0,boxer,0.196655,True,46,184
667902449697558528,9,10,Cleopatricia,0.9,Norwegian_elkhound,0.298881,True,334,754
667886921285246976,11,10,Erik,1.1,Pomeranian,0.8004319999999999,True,906,1644
667885044254572545,10,10,Stu,1.0,malamute,0.0885297,True,398,728
667878741721415682,2,10,Tedrick,0.2,miniature_pinscher,0.106003,True,101,348
